"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CUI_PURCHASE_URL";"DESCRIPTION";"DIS";"DISTRIBUTOR";"DPM";"DPN";"GENERIC";"MF";"MFR";"MP";"MPN";"PACKAGE";"POPULARITY";"PRICE";"SPICEPREFIX";
"1";"100k";"R-US_0402-A-NOSILK";".0402-A-NOSILK";"R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100n";"C-EU0402-A-NOSILK";".0402-A-NOSILK";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"100n";"C-EU0402-A-NOSILK";".0402-A-NOSILK";"C1, C2, C4, C5, C6, C10, C11, C12";"CAPACITOR, European symbol";"";"";"";"Digi-Key";"";"";"490-10458-1-ND";"N";"";"Murata";"";"GRM155R62A104KE14D";"";"";"";"";
"2";"10K";"NTCTHERMISTER";"R0402";"RT1, RT3";"";"";"";"";"";"Digi-Key";"";"445-2550-1-ND";"N";"";"TDK";"";"NTCG103JF103FT1";"";"";"";"";
"1";"10K";"NTCTHERMISTER";"R0402";"RT2";"";"";"";"";"";"Digi-key";"";"445-2550-1-ND";"N";"";"TDK";"";"NTCG103JF103FT1";"";"";"";"";
"1";"10K";"NTCTHERMISTER";"R0402";"RT4";"";"";"";"";"";"digikey";"";"445-2550-1-ND";"N";"";"TDK";"";"NTCG103JF103FT1";"";"";"";"";
"2";"10k";"R-US_0402-A-NOSILK";".0402-A-NOSILK";"R3, R29";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"311-10.0KLRCT-ND";"Y";"";"";"";"RC0402FR-0710KL";"";"";"";"";
"3";"10k";"R-US_0603-B-NOSILK";".0603-B-NOSILK";"R11, R12, R14";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"311-10.0KLRCT-ND";"Y";"";"";"";"RC0402FR-0710KL";"";"";"";"";
"1";"10k";"R-US_0603-B-NOSILK";".0603-B-NOSILK";"R13";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"";"Y";"";"";"";"RC0402FR-0710KL";"";"";"";"";
"3";"10u";"C-EUC2220K";"C2220K";"C13, C14, C15";"CAPACITOR, European symbol";"";"";"";"Digi-Key";"";"";"478-9622-1-ND";"Y";"";"AVX";"";"22201C106MAT2A";"";"0";"";"C";
"2";"11k";"R-US_0402-A-NOSILK";".0402-A-NOSILK";"R21, R22";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"P11KDBCT-ND";"
";"Y";"";"Panasonic";"";"ERA-3AEB113V";"";"";"";
"1";"11k";"R-US_0402-A-NOSILK";".0402-A-NOSILK";"R23";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"P11KDBCT-ND";"Y";"";"Panasonic";"";"ERA-3AEB113V";"";"";"";"";
"3";"13k";"R-US_0402-A-NOSILK";".0402-A-NOSILK";"R5, R7, R9";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"P13KDCCT-ND";"Y";"";"Panasonic";"";"ERA-2AEB133X";"";"";"";"";
"3";"150n";"C-EUC0805K";"C0805K";"C7, C8, C9";"CAPACITOR, European symbol";"";"";"";"Digi-Key";"";"";"490-16332-2-ND";"Y";"";"Murata";"";"GRM188R71H154KAC4D";"";"52";"";"C";
"3";"170u";"7447709681";"1212NONSTANDARD";"L1, L2, L3";"";"";"";"";"Digi-Key";"";"";"TE2201TR-ND";"N";"";"Amgis";"";"SH150S-1.02-168";"";"";"";"";
"3";"1k";"R-US_0402-A-NOSILK";".0402-A-NOSILK";"R15, R16, R17";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"311-1.00KLRCT-ND";"Y";"";"Yageo";"";"RC0402FR-071KL";"";"";"";"";
"3";"1k";"R-US_R0402";"R0402";"R28, R30, R31";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"311-1.00KLRCT-ND";"Y";"";"Yageo";"";"RC0402FR-071KL";"";"34";"";"R";
"3";"300m";"R-US_R0805";"R0805";"R18, R19, R20";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"P19247CT-ND";"Y";"";"Panasonic";"";"ERJ-6DQJR30V";"";"85";"";"R";
"1";"4.7k";"R-US_0402-A-NOSILK";".0402-A-NOSILK";"R2";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"311-4.7KJRCT-ND";"Y";"";"Yageo";"";"311-4.7KJRCT-ND";"";"";"";"";
"1";"4.7k";"R-US_0402-A-NOSILK";".0402-A-NOSILK";"R1";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"311-4.7KJRCT-ND";"Y";"";"Yageo";"";"RC0402JR-074K7L";"";"";"";"";
"3";"590k";"R-US_0402-A-NOSILK";".0402-A-NOSILK";"R6, R8, R10";"RESISTOR, American symbol";"";"";"";"Digi-Key";"";"";"RMCF0402FT590KCT-ND";"Y";"";"Stackpole";"";"RMCF0402FT590K";"";"";"";"";
"1";"ARDUINO_NANO";"ARDUINO_NANO";"ARDUINO_NANO_SHIELD";"PCB1";"Arduino Nano, Through Hole and SMT.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"D-MCC-SS2150";"D-MCC-SS2150";"DO-214AC";"D1, D2, D3";"";"";"";"";"Digi-Key";"";"";"SS2150-LTPMSCT-ND";"N";"";"Micro";"";"SS2150-LTP";"";"";"";"";
"1";"HL_G4BULB";"HL_G4BULB";"G4BASE";"U$8";"";"";"";"";"1000Bulbs";"";"";"Q-G412V102130";"N";"";"";"";"3301";"";"";"";"";
"3";"HL_G4BULB";"HL_G4BULB";"G4BASE";"U$7, U$9, U$10";"";"";"";"";"1000Bulbs";"";"";"Q-G412V102130";"N";"";"Plusrite";"";"3301";"";"";"";"";
"1";"MCP4728";"MCP4728";"MSOP10";"U4";"";"";"";"";"Digi-Key";"";"";"MCP4728T-E/UNCT-ND";"N";"";"Microchip";"";"MCP4728T-E/UN";"";"";"";"";
"1";"NCH-SOT223";"NCH-SOT223";"SOT223";"Q1";"";"";"";"";"Digi-Key";"";"";"DMN6068SE-13CT-ND";"N";"";"Diodes";"";"DMN6068SE";"";"";"";"";
"3";"NP";"R-US_R0402";"R0402";"R24, R25, R26";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";"R";
"1";"PJ-102B";"PJ-102B";"CUI_PJ-102B";"J1";"2.5 mm Center Pin, 2.5 A, Right Angle, Through Hole, Tapered Pins, Dc Power Jack Connector";"Unavailable";"https://www.cuidevices.com/product/interconnect/connectors/dc-power-connectors/jacks/pj-102b?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";" 2.5 x 6.5 mm, 2.5 A, Horizontal, Through Hole, Tapered Pins, Dc Power Jack Connector ";"Digi-Key";"";"";"626-1968-ND";"N";"CUI Devices";"Conec";"PJ-102B";"";"None";"";"None";"";
"1";"RAPC722BKZ-TH";"RAPC722BKZ-TH";"RAPC722BKZ";"J2";"";"";"";"";"Digi-Key";"";"";"SC3832-ND";"N";"";"SwitchCraft";"";"RAPC722BKZ";"";"";"";"";
"30";"TEST-POINT";"TEST-POINT";"2MM-TEST-POINT";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15";"X-QE";"X-QE";"X-QE";"GREE9, GREEN1, GREEN2, GREEN3, GREEN4, GREEN5, GREEN6, GREEN7, GREEN8, GREEN10, GREEN11, GREEN12, GREEN13, GREEN14, GREEN15";"";"";"";"";"Digi-Key";"";"";"XQEGRN-00-0000-000000D03CT-ND";"N";"";"Cree";"";"XQEGRN-00-0000-000000D03";"";"";"";"";
"15";"X-QE";"X-QE";"X-QE";"RED1, RED2, RED3, RED4, RED5, RED6, RED7, RED8, RED9, RED10, RED11, RED12, RED13, RED14, RED15";"";"";"";"";"Digi-Key";"";"";"XQERED-00-0000-000000701CT-ND";"N";"";"Cree";"";"XQERED-00-0000-000000701";"";"";"";"";
"14";"X-QE";"X-QE";"X-QE";"BLUE1, BLUE2, BLUE3, BLUE4, BLUE5, BLUE6, BLUE7, BLUE8, BLUE10, BLUE11, BLUE12, BLUE13, BLUE14, BLUE15";"";"";"";"";"Digi-Key";"";"";"XQEROY-00-0000-000000L01CT-ND";"N";"";"Cree";"";"XQEROY-00-0000-000000L01";"";"";"";"";
"1";"X-QE";"X-QE";"X-QE";"BLUE9";"";"";"";"";"Digi-Key";"";"XQEROY-00-0000-000000L01CT-ND";"XQEROY-00-0000-000000L01CT-ND";"N";"";"Cree";"";"XQEROY-00-0000-000000L01";"";"";"";"";
"1";"tps92512";"TPS92512";"MSOP10";"U3";"";"";"";"";"Digi-Key";"";"";"296-41002-1-ND";"";"";"Texas Instruments";"";"TPS92512DGQR";"";"";"";"";
"1";"tps92512";"TPS92512";"MSOP10";"U1";"";"";"";"";"Digi-Key";"";"";"296-41002-1-ND";"N";"";"Texas Instruments";"";"TPS92512DGQR";"";"";"";"";
"1";"tps92512";"TPS92512";"MSOP10";"U2";"";"";"";"";"Digi-key";"";"";"296-41002-1-ND";"N";"";"Texas Instruments";"";"TPS92512DGQR";"";"";"";"";
